"name","word","count"
"clegg","clegg","2672"
"would","would","2108"
"said","said","2005"
"party","party","1728"
"government","government","1612"
"lib","lib","1469"
"cameron","cameron","1278"
"coalition","coalition","1238"
"one","one","1206"
"labour","labour","1137"
"minister","minister","1050"
"people","people","1002"
"tax","tax","999"
"liberal","liberal","862"
"prime","prime","847"
"nick","nick","834"
"dems","dems","780"
"bill","bill","768"
"also","also","745"
"time","time","738"
"tory","tory","703"
"reform","reform","701"
"year","year","672"
"dem","dem","672"
"lords","lords","670"
"new","new","667"
"could","could","657"
"last","last","617"
"two","two","602"
"make","make","599"
"election","election","590"
"public","public","553"
"secretary","secretary","527"
"says","says","526"
"david","david","523"
"next","next","518"
"made","made","514"
"mps","mps","510"
"way","way","494"
"may","may","483"
"political","political","483"
"support","support","482"
"britain","britain","467"
"many","many","466"
"osborne","osborne","463"
"deputy","deputy","463"
"say","say","461"
"think","think","461"
"need","need","460"
"much","much","457"
"tories","tories","454"
"right","right","453"
"even","even","451"
"like","like","446"
"house","house","441"
"first","first","440"
"going","going","438"
"years","years","435"
"leader","leader","434"
"get","get","431"
"work","work","421"
"week","week","418"
"vote","vote","411"
"economy","economy","409"
"conservative","conservative","408"
"told","told","394"
"policy","policy","388"
"us","us","387"
"uk","uk","386"
"democrats","democrats","381"
"budget","budget","378"
"back","back","374"
"social","social","371"
"want","want","369"
"eu","eu","356"
"economic","economic","356"
"plans","plans","355"
"press","press","352"
"take","take","345"
"commons","commons","340"
"whether","whether","337"
"miliband","miliband","336"
"10","10","335"
"see","see","334"
"parties","parties","332"
"conference","conference","332"
"system","system","329"
"clear","clear","322"
"british","british","316"
"democrat","democrat","312"
"still","still","311"
"three","three","310"
"country","country","309"
"parliament","parliament","308"
"saying","saying","303"
"change","change","298"
"well","well","295"
"go","go","285"
"ministers","ministers","284"
"former","former","283"
