"name","word","count"
"cameron","cameron","927"
"said","said","797"
"would","would","672"
"minister","minister","515"
"prime","prime","476"
"labour","labour","444"
"party","party","418"
"people","people","377"
"election","election","347"
"government","government","327"
"david","david","318"
"one","one","306"
"britain","britain","292"
"debates","debates","289"
"uk","uk","284"
"us","us","263"
"also","also","258"
"miliband","miliband","249"
"british","british","235"
"could","could","231"
"eu","eu","223"
"new","new","219"
"may","may","213"
"leader","leader","206"
"time","time","199"
"take","take","194"
"two","two","190"
"obama","obama","186"
"last","last","184"
"public","public","182"
"think","think","181"
"year","year","180"
"twitter","twitter","180"
"debate","debate","176"
"parties","parties","175"
"part","part","172"
"facebook","facebook","160"
"political","political","159"
"ukip","ukip","154"
"tories","tories","154"
"leaders","leaders","153"
"tory","tory","151"
"first","first","148"
"work","work","146"
"made","made","146"
"security","security","145"
"need","need","145"
"years","years","144"
"even","even","143"
"right","right","142"
"campaign","campaign","142"
"nhs","nhs","141"
"way","way","140"
"say","say","138"
"country","country","135"
"told","told","135"
"europe","europe","133"
"report","report","132"
"make","make","131"
"secretary","secretary","130"
"want","want","129"
"general","general","127"
"like","like","127"
"european","european","125"
"world","world","124"
"clegg","clegg","124"
"many","many","122"
"week","week","121"
"share","share","120"
"back","back","120"
"house","house","118"
"change","change","117"
"president","president","115"
"broadcasters","broadcasters","114"
"google","google","113"
"says","says","113"
"vote","vote","112"
"going","going","111"
"much","much","110"
"ed","ed","110"
"go","go","110"
"voters","voters","109"
"plans","plans","107"
"plus","plus","107"
"whether","whether","106"
"support","support","105"
"national","national","105"
"major","major","104"
"greens","greens","102"
"free","free","102"
"conservative","conservative","101"
"get","get","101"
"without","without","101"
"long","long","100"
"place","place","100"
"expand","expand","98"
"companies","companies","98"
"former","former","96"
"clear","clear","96"
"re","re","95"
