"name","word","count"
"clegg","clegg","3091"
"said","said","2611"
"would","would","2403"
"government","government","2207"
"party","party","2116"
"lib","lib","2049"
"cameron","cameron","1891"
"labour","labour","1876"
"coalition","coalition","1624"
"people","people","1506"
"one","one","1462"
"minister","minister","1269"
"dems","dems","1145"
"liberal","liberal","1138"
"prime","prime","1039"
"nick","nick","1025"
"also","also","945"
"last","last","924"
"new","new","921"
"dem","dem","904"
"may","may","891"
"nhs","nhs","884"
"could","could","866"
"time","time","858"
"public","public","823"
"year","year","788"
"election","election","771"
"think","think","748"
"tory","tory","745"
"first","first","739"
"vote","vote","737"
"david","david","727"
"britain","britain","712"
"right","right","702"
"get","get","688"
"like","like","676"
"say","say","673"
"political","political","664"
"make","make","662"
"campaign","campaign","661"
"av","av","643"
"two","two","643"
"even","even","631"
"made","made","618"
"many","many","612"
"leader","leader","612"
"much","much","603"
"tories","tories","596"
"bill","bill","596"
"back","back","592"
"health","health","586"
"secretary","secretary","584"
"need","need","576"
"reform","reform","574"
"way","way","571"
"policy","policy","558"
"democrats","democrats","549"
"mps","mps","547"
"going","going","547"
"system","system","546"
"week","week","533"
"years","years","532"
"want","want","531"
"next","next","530"
"referendum","referendum","528"
"work","work","525"
"miliband","miliband","512"
"deputy","deputy","512"
"change","change","508"
"take","take","505"
"well","well","504"
"us","us","500"
"social","social","493"
"country","country","481"
"politics","politics","476"
"voters","voters","471"
"see","see","467"
"conservative","conservative","466"
"says","says","465"
"british","british","463"
"conference","conference","455"
"told","told","455"
"still","still","450"
"support","support","450"
"speech","speech","449"
"uk","uk","443"
"yes","yes","421"
"good","good","421"
"local","local","420"
"go","go","419"
"clear","clear","416"
"re","re","393"
"parliament","parliament","389"
"know","know","389"
"conservatives","conservatives","388"
"parties","parties","388"
"democrat","democrat","387"
"ministers","ministers","370"
"plans","plans","369"
"tax","tax","369"
